Similarity between 14 and 33: 0.43404512672805196, type: <class 'float'>
Similarity between 14 and 35: 0.5207567223089927, type: <class 'float'>
Similarity between 14 and 36: 0.4191563863826864, type: <class 'float'>
Similarity between 14 and 37: 0.5262152360225698, type: <class 'float'>
Similarity between 14 and 39: 0.45432453052235866, type: <class 'float'>
Similarity between 14 and 41: 0.5265717072150424, type: <class 'float'>
Similarity between 14 and 42: 0.4385883356179687, type: <class 'float'>
Similarity between 14 and 43: 0.48664955299430374, type: <class 'float'>
Similarity between 14 and 45: 0.41231519736313044, type: <class 'float'>
Similarity between 14 and 51: 0.38330288343106067, type: <class 'float'>
Similarity between 14 and 57: 0.38141197218721734, type: <class 'float'>
Similarity between 14 and 58: 0.41334562370331224, type: <class 'float'>
Similarity between 15 and 16: 0.5274495025912525, type: <class 'float'>
Similarity between 15 and 17: 0.6699859940392184, type: <class 'float'>
Similarity between 15 and 18: 0.5294207671897799, type: <class 'float'>
Similarity between 15 and 19: 0.6684579838169977, type: <class 'float'>
Similarity between 15 and 23: 0.44040466185206345, type: <class 'float'>
Similarity between 15 and 24: 0.4868246183218766, type: <class 'float'>
Similarity between 15 and 25: 0.4940327835417432, type: <class 'float'>
Similarity between 15 and 26: 0.49793352984441513, type: <class 'float'>
Similarity between 15 and 29: 0.49808300983318265, type: <class 'float'>
Similarity between 15 and 32: 0.503070932875031, type: <class 'float'>
Similarity between 15 and 33: 0.5728174160527788, type: <class 'float'>
Similarity between 15 and 35: 0.6188989417770836, type: <class 'float'>
Similarity between 15 and 36: 0.4305398015925517, type: <class 'float'>
Similarity between 15 and 37: 0.572296319457646, type: <class 'float'>
Similarity between 15 and 39: 0.4674847832624922, type: <class 'float'>
Similarity between 15 and 41: 0.5354869916052583, type: <class 'float'>
Similarity between 15 and 42: 0.46757133963309366, type: <class 'float'>
Similarity between 15 and 43: 0.5577022847247549, type: <class 'float'>
Similarity between 15 and 45: 0.4433714747772635, type: <class 'float'>
Similarity between 15 and 51: 0.41403407827478783, type: <class 'float'>
Similarity between 15 and 57: 0.4774048349805264, type: <class 'float'>
Similarity between 15 and 58: 0.4532422472819561, type: <class 'float'>
Similarity between 16 and 17: 0.468598423776145, type: <class 'float'>
Similarity between 16 and 18: 0.5650607268271064, type: <class 'float'>
Similarity between 16 and 19: 0.7601021375277723, type: <class 'float'>
Similarity between 16 and 23: 0.6170933650174582, type: <class 'float'>
Similarity between 16 and 24: 0.5472586219760873, type: <class 'float'>
Similarity between 16 and 25: 0.4644293486669804, type: <class 'float'>
Similarity between 16 and 26: 0.44705444706205777, type: <class 'float'>
Similarity between 16 and 29: 0.6361204937102141, type: <class 'float'>
Similarity between 16 and 32: 0.7205945658439838, type: <class 'float'>
Similarity between 16 and 33: 0.4952222871178117, type: <class 'float'>
Similarity between 16 and 35: 0.6012680825787442, type: <class 'float'>
Similarity between 16 and 36: 0.3488783697800194, type: <class 'float'>
Similarity between 16 and 37: 0.4671096138232157, type: <class 'float'>
Similarity between 16 and 39: 0.4125444409052731, type: <class 'float'>
Similarity between 16 and 41: 0.4245039536302699, type: <class 'float'>
Similarity between 16 and 42: 0.35447721284659306, type: <class 'float'>
Similarity between 16 and 43: 0.4475658892633926, type: <class 'float'>
Similarity between 16 and 45: 0.4094120141568208, type: <class 'float'>
Similarity between 16 and 51: 0.4381709740512531, type: <class 'float'>
Similarity between 16 and 57: 0.5446440167170001, type: <class 'float'>
Similarity between 16 and 58: 0.704878378032279, type: <class 'float'>
Similarity between 17 and 18: 0.524490734388277, type: <class 'float'>
Similarity between 17 and 19: 0.5759731453489796, type: <class 'float'>
Similarity between 17 and 23: 0.4957850916101187, type: <class 'float'>
Similarity between 17 and 24: 0.44330168562762773, type: <class 'float'>
Similarity between 17 and 25: 0.406804511337079, type: <class 'float'>
Similarity between 17 and 26: 0.45133659287057226, type: <class 'float'>
Similarity between 17 and 29: 0.44924093359594797, type: <class 'float'>
Similarity between 17 and 32: 0.510452306386987, type: <class 'float'>
Similarity between 17 and 33: 0.5212866296027855, type: <class 'float'>
Similarity between 17 and 35: 0.6182651866820978, type: <class 'float'>
Similarity between 17 and 36: 0.44495130485652895, type: <class 'float'>
Similarity between 17 and 37: 0.5182061277704, type: <class 'float'>
Similarity between 17 and 39: 0.4892042754349038, type: <class 'float'>
Similarity between 17 and 41: 0.5152737615013065, type: <class 'float'>
Similarity between 17 and 42: 0.4852470655787837, type: <class 'float'>
Similarity between 17 and 43: 0.49278613533093424, type: <class 'float'>
Similarity between 17 and 45: 0.43654012994790853, type: <class 'float'>
Similarity between 17 and 51: 0.43948889819456594, type: <class 'float'>
Similarity between 17 and 57: 0.4406976772935441, type: <class 'float'>
Similarity between 17 and 58: 0.5003239977644984, type: <class 'float'>
Similarity between 18 and 19: 0.5481558639311832, type: <class 'float'>
Similarity between 18 and 23: 0.3986376243881711, type: <class 'float'>
Similarity between 18 and 24: 0.5427417596405126, type: <class 'float'>
Similarity between 18 and 25: 0.5238626442683267, type: <class 'float'>
Similarity between 18 and 26: 0.6488398862640427, type: <class 'float'>
Similarity between 18 and 29: 0.4591793652734017, type: <class 'float'>
Similarity between 18 and 32: 0.432394339432533, type: <class 'float'>
Similarity between 18 and 33: 0.5010523508612944, type: <class 'float'>
Similarity between 18 and 35: 0.556073848504734, type: <class 'float'>
Similarity between 18 and 36: 0.4750684693583268, type: <class 'float'>
Similarity between 18 and 37: 0.6717582760647361, type: <class 'float'>
Similarity between 18 and 39: 0.5464838153157341, type: <class 'float'>
Similarity between 18 and 41: 0.6996656684561516, type: <class 'float'>
Similarity between 18 and 42: 0.527783718601259, type: <class 'float'>
Similarity between 18 and 43: 0.5800450167847594, type: <class 'float'>
Similarity between 18 and 45: 0.5386145276340706, type: <class 'float'>
Similarity between 18 and 51: 0.5118532182217186, type: <class 'float'>
Similarity between 18 and 57: 0.4577584682934235, type: <class 'float'>
Similarity between 18 and 58: 0.4195685460228398, type: <class 'float'>
Similarity between 19 and 23: 0.6110868980144761, type: <class 'float'>
Similarity between 19 and 24: 0.5724453640397552, type: <class 'float'>
Similarity between 19 and 25: 0.47371024171645565, type: <class 'float'>
Similarity between 19 and 26: 0.5170254443000993, type: <class 'float'>
Similarity between 19 and 29: 0.6233915729641782, type: <class 'float'>
Similarity between 19 and 32: 0.6792410325299894, type: <class 'float'>
Similarity between 19 and 33: 0.6595528824421719, type: <class 'float'>
Similarity between 19 and 35: 0.6738564703770924, type: <class 'float'>
Similarity between 19 and 36: 0.43505248610461916, type: <class 'float'>
Similarity between 19 and 37: 0.548739228639529, type: <class 'float'>
Similarity between 19 and 39: 0.4964193033036637, type: <class 'float'>
Similarity between 19 and 41: 0.5252594075960624, type: <class 'float'>
Similarity between 19 and 42: 0.48758710850340253, type: <class 'float'>
Similarity between 19 and 43: 0.5133947533237597, type: <class 'float'>
Similarity between 19 and 45: 0.5081891850469402, type: <class 'float'>
Similarity between 19 and 51: 0.45813603431857425, type: <class 'float'>
Similarity between 19 and 57: 0.5915223515371513, type: <class 'float'>
Similarity between 19 and 58: 0.6586428969654072, type: <class 'float'>
Similarity between 23 and 24: 0.46696262976622704, type: <class 'float'>
Similarity between 23 and 25: 0.3306393488335846, type: <class 'float'>
Similarity between 23 and 26: 0.3916289605512163, type: <class 'float'>
Similarity between 23 and 29: 0.6536420319405174, type: <class 'float'>
Similarity between 23 and 32: 0.6265014438231444, type: <class 'float'>
Similarity between 23 and 33: 0.48384496451367875, type: <class 'float'>
Similarity between 23 and 35: 0.5603798436932722, type: <class 'float'>
Similarity between 23 and 36: 0.33302953302837845, type: <class 'float'>
Similarity between 23 and 37: 0.41618488823188177, type: <class 'float'>
Similarity between 23 and 39: 0.3795168239864928, type: <class 'float'>
Similarity between 23 and 41: 0.3960103990646352, type: <class 'float'>
Similarity between 23 and 42: 0.35949248055253896, type: <class 'float'>
Similarity between 23 and 43: 0.43082311653549477, type: <class 'float'>
Similarity between 23 and 45: 0.35504488070336404, type: <class 'float'>
Similarity between 23 and 51: 0.35052880998191205, type: <class 'float'>
Similarity between 23 and 57: 0.4519988395493204, type: <class 'float'>
Similarity between 23 and 58: 0.6755937662805278, type: <class 'float'>
Similarity between 24 and 25: 0.6497452107992839, type: <class 'float'>
Similarity between 24 and 26: 0.40502443516368963, type: <class 'float'>
Similarity between 24 and 29: 0.6797852990921014, type: <class 'float'>
Similarity between 24 and 32: 0.42811570490517625, type: <class 'float'>
Similarity between 24 and 33: 0.590991235550919, type: <class 'float'>
Similarity between 24 and 35: 0.6738871989656845, type: <class 'float'>
Similarity between 24 and 36: 0.4788116778412594, type: <class 'float'>
Similarity between 24 and 37: 0.4313175650012914, type: <class 'float'>
Similarity between 24 and 39: 0.570317159104646, type: <class 'float'>
Similarity between 24 and 41: 0.5354135772494565, type: <class 'float'>
Similarity between 24 and 42: 0.4632938601454604, type: <class 'float'>
Similarity between 24 and 43: 0.6652475442063905, type: <class 'float'>
Similarity between 24 and 45: 0.5011307095575774, type: <class 'float'>
Similarity between 24 and 51: 0.46879194509074845, type: <class 'float'>
Similarity between 24 and 57: 0.6460238675126466, type: <class 'float'>
Similarity between 24 and 58: 0.4541129924217623, type: <class 'float'>
Similarity between 25 and 26: 0.43860490885314496, type: <class 'float'>
Similarity between 25 and 29: 0.49559550809545044, type: <class 'float'>
Similarity between 25 and 32: 0.3336017369723288, type: <class 'float'>
Similarity between 25 and 33: 0.44001212625780534, type: <class 'float'>
Similarity between 25 and 35: 0.4499784224915421, type: <class 'float'>
Similarity between 25 and 36: 0.45050096937414197, type: <class 'float'>
Similarity between 25 and 37: 0.44555064974285696, type: <class 'float'>
